dataset,task,view,model,split_type,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,n_train,n_val,n_test,n_features,seed,random_stratified_macro_f1,macro_f1_delta_vs_random
MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Random Forest,random_stratified,ok,0.9740149587477832,0.9586779473074497,0.9788049676834407,0.9680404800889008,0.9742937582809672,0.9975481400512167,0.9931408451063929,2.4875317999976687,2.0018685580976103e-06,181565,38907,38907,12,42,0.9680404800889008,0.0
MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Extra Trees,random_stratified,ok,0.9739635541162259,0.9585409421370157,0.9788573391013171,0.9679842562059799,0.9742455562122664,0.9962090144766155,0.9917237773949326,0.8975956000067526,2.0541213663732194e-06,181565,38907,38907,12,42,0.9679842562059799,0.0
MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,HistGradientBoostingClassifier,random_stratified,ok,0.974246279589791,0.9589283771992261,0.9791397420158137,0.9683275833249567,0.9745235810141735,0.998035245244811,0.9946265443904108,2.7206205999973463,1.5874392783136817e-06,181565,38907,38907,12,42,0.9683275833249567,0.0
MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Logistic Regression,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,12,42,0.914729272390296,
MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Random Forest,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,12,42,0.9680404800889008,
MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,Extra Trees,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,12,42,0.9679842562059799,
MQTT-IoT-IDS2020,binary,strict_encrypted_flow_safe,HistGradientBoostingClassifier,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,12,42,0.9683275833249567,
MQTT-IoT-IDS2020,multiclass,strict_encrypted_flow_safe,Logistic Regression,random_stratified,ok,0.3235407510216671,0.7887297385880557,0.8061047485561039,0.6451224788148403,0.31891890742688334,,,15.8695824000024,3.703009740509786e-07,181565,38907,38907,12,42,0.6451224788148403,0.0
MQTT-IoT-IDS2020,multiclass,strict_encrypted_flow_safe,Random Forest,random_stratified,ok,0.9657131107512786,0.9245484651262647,0.986554600640341,0.9475848878423884,0.9691061041444236,,,2.4334545000019716,2.326815225968073e-06,181565,38907,38907,12,42,0.9475848878423884,0.0
MQTT-IoT-IDS2020,multiclass,strict_encrypted_flow_safe,Extra Trees,random_stratified,ok,0.9649677435936977,0.9234852161060152,0.9865185040388547,0.946725438017895,0.9685036521914662,,,0.9465911000006599,2.722638599812094e-06,181565,38907,38907,12,42,0.946725438017895,0.0
MQTT-IoT-IDS2020,multiclass,strict_encrypted_flow_safe,HistGradientBoostingClassifier,random_stratified,ok,0.9644279949623461,0.9226955365591021,0.9869619362560511,0.9462026614052925,0.9680916731679425,,,6.3057864000002155,3.7188963428012387e-06,181565,38907,38907,12,42,0.9462026614052925,0.0
MQTT-IoT-IDS2020,multiclass,strict_encrypted_flow_safe,Logistic Regression,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,12,42,0.6451224788148403,
MQTT-IoT-IDS2020,multiclass,strict_encrypted_flow_safe,Random Forest,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,12,42,0.9475848878423884,
MQTT-IoT-IDS2020,multiclass,strict_encrypted_flow_safe,Extra Trees,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,12,42,0.946725438017895,
MQTT-IoT-IDS2020,multiclass,strict_encrypted_flow_safe,HistGradientBoostingClassifier,time_block_split,failed: ValueError('split has fewer than two classes in train or test'),,,,,,,,,,181565,38906,38908,12,42,0.9462026614052925,
