dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,Extra Trees,time_block_split,181565.0,38906.0,38908.0,42,42,invalid_split_test_single_class,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,HistGradientBoostingClassifier,time_block_split,181565.0,38906.0,38908.0,42,42,invalid_split_test_single_class,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,Isolation Forest,time_block_split,181565.0,38906.0,38908.0,42,42,invalid_split_test_single_class,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,binary,MLP,all,,,,42,42,skipped_optional_too_slow_or_unstable,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Logistic Regression,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.994396895160254,0.9905464725652877,0.9930236929746495,0.9916457632282298,0.9944259553033167,,,20.159416800001054,1.2128485876347875e-06
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Random Forest,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9995630606317629,0.9992867320335949,0.9990338644704311,0.9991602034119789,0.9995629219397265,,,3.6564367999962997,2.8066337674127157e-06
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Extra Trees,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9994859536844269,0.99901263079382,0.99901263079382,0.99901263079382,0.9994859536844269,,,1.687392899999395,2.9701107767542158e-06
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,HistGradientBoostingClassifier,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9991004189477471,0.9976533528073913,0.9989064624107644,0.9982775655227358,0.9991018402624987,,,10.908158799997182,4.323605006693367e-06
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Logistic Regression,time_block_split,181565.0,38906.0,38908.0,42,42,invalid_split_test_single_class,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Random Forest,time_block_split,181565.0,38906.0,38908.0,42,42,invalid_split_test_single_class,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Extra Trees,time_block_split,181565.0,38906.0,38908.0,42,42,invalid_split_test_single_class,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,HistGradientBoostingClassifier,time_block_split,181565.0,38906.0,38908.0,42,42,invalid_split_test_single_class,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,MLP,all,,,,42,42,skipped_optional_too_slow_or_unstable,,,,,,,,,
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.995502094738736,0.9940730017684862,0.9946216393096163,0.9943468702807687,0.9955033427069361,0.9995986436366011,0.9993779739426855,5.2321015000052284,1.1911249906144222e-06
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,42,42,ok,0.9992803351581978,0.9991533324240045,0.9990364895249688,0.999094890854636,0.9992802930380902,0.9998097259875446,0.999722290163278,3.6209713999996893,2.5468784537345933e-06
